"Airline","Date_of_Journey","Source","Destination","Route","Dep_Time","Arrival_Time","Duration","Total_Stops","Additional_Info","Price"
"Air India","03/24/2019","Kolkata","Banglore","CCU → IXR → BBI → BLR","05:50 AM","01:40 PM","7h 50m","2 stops","No info",98
"Jet Airways","04/01/2019","Kolkata","Banglore","CCU → BOM → BLR","06:55 PM","10:35 PM","27h 40m","1 stop","In-flight meal not included",86
"Jet Airways","05/01/2019","Kolkata","Banglore","CCU → DEL → BLR","08:25 PM","09:05 PM","24h 40m","1 stop","No info",148
"Air India","05/09/2019","Delhi","Cochin","DEL → JAI → BOM → COK","12:00 PM","07:15 PM","7h 15m","2 stops","No info",109
"Air India","05/12/2019","Kolkata","Banglore","CCU → BOM → BLR","09:25 AM","09:50 PM","12h 25m","1 stop","No info",108
"Air India","05/01/2019","Kolkata","Banglore","CCU → DEL → BLR","10:00 AM","04:15 PM","6h 15m","1 stop","No info",124
"Multiple carriers","05/15/2019","Delhi","Cochin","DEL → BOM → COK","01:00 PM","09:00 PM","8h","1 stop","No info",98
"IndiGo","03/03/2019","Delhi","Cochin","DEL → HYD → COK","04:10 PM","10:20 PM","6h 10m","1 stop","No info",137
"Jet Airways","06/12/2019","Delhi","Cochin","DEL → NAG → BOM → COK","06:45 AM","04:25 AM","21h 40m","2 stops","No info",163
"Multiple carriers","06/09/2019","Delhi","Cochin","DEL → HYD → COK","07:10 AM","10:30 PM","15h 20m","1 stop","No info",79
"Jet Airways","05/24/2019","Kolkata","Banglore","CCU → BOM → BLR","06:55 PM","04:40 AM","9h 45m","1 stop","No info",168
"Jet Airways","04/01/2019","Kolkata","Banglore","CCU → BOM → BLR","08:00 PM","07:50 PM","23h 50m","1 stop","In-flight meal not included",86
"Jet Airways","03/06/2019","Banglore","New Delhi","BLR → BOM → DEL","05:45 AM","07:10 PM","13h 25m","1 stop","No info",204
"Jet Airways","05/15/2019","Kolkata","Banglore","CCU → BOM → BLR","08:00 PM","10:05 AM","14h 5m","1 stop","In-flight meal not included",105
"Multiple carriers","06/15/2019","Delhi","Cochin","DEL → BOM → COK","06:00 AM","07:00 PM","13h","1 stop","No info",144
"IndiGo","05/24/2019","Kolkata","Banglore","CCU → BLR","11:30 AM","02:05 PM","2h 35m","non-stop","No info",64
"IndiGo","05/15/2019","Delhi","Cochin","DEL → COK","09:05 PM","12:20 AM","3h 15m","non-stop","No info",83
"IndiGo","06/15/2019","Delhi","Cochin","DEL → BOM → COK","04:00 PM","01:30 AM","9h 30m","1 stop","No info",77
"Jet Airways","03/21/2019","Delhi","Cochin","DEL → BDQ → BOM → COK","10:45 AM","06:50 PM","32h 5m","2 stops","No info",145
"Air Asia","03/06/2019","Kolkata","Banglore","CCU → BLR","10:50 PM","01:20 AM","2h 30m","non-stop","No info",53
"IndiGo","04/21/2019","Kolkata","Banglore","CCU → BLR","02:25 PM","04:55 PM","2h 30m","non-stop","No info",69
"Air India","03/09/2019","Delhi","Cochin","DEL → CCU → BOM → COK","08:15 PM","07:15 PM","23h","2 stops","No info",240
"Multiple carriers","06/06/2019","Delhi","Cochin","DEL → BOM → COK","10:00 AM","01:30 AM","15h 30m","1 stop","No info",163
"Multiple carriers","03/09/2019","Delhi","Cochin","DEL → HYD → MAA → COK","09:45 AM","09:20 PM","11h 35m","2 stops","No info",123
"Jet Airways","03/06/2019","Mumbai","Hyderabad","BOM → IDR → DEL → HYD","05:50 PM","04:50 PM","23h","2 stops","No info",254
"Vistara","06/24/2019","Banglore","Delhi","BLR → DEL","05:00 PM","07:35 PM","2h 35m","non-stop","No info",60
"IndiGo","06/01/2019","Mumbai","Hyderabad","BOM → HYD","09:20 PM","10:50 PM","1h 30m","non-stop","No info",27
"IndiGo","05/18/2019","Delhi","Cochin","DEL → HYD → COK","07:35 AM","04:10 PM","8h 35m","1 stop","No info",79
"SpiceJet","05/27/2019","Banglore","Delhi","BLR → DEL","09:10 PM","12:05 AM","2h 55m","non-stop","No check-in baggage included",40
"Jet Airways","06/15/2019","Banglore","Delhi","BLR → DEL","06:00 AM","08:45 AM","2h 45m","non-stop","In-flight meal not included",88
"Air India","05/01/2019","Kolkata","Banglore","CCU → DEL → COK → BLR","08:30 PM","01:45 PM","17h 15m","2 stops","No info",185
"IndiGo","03/24/2019","Banglore","New Delhi","BLR → DEL","10:10 AM","01:00 PM","2h 50m","non-stop","No info",123
"Air India","03/15/2019","Delhi","Cochin","DEL → COK","02:10 PM","05:10 PM","3h","non-stop","No info",69
"Jet Airways","03/01/2019","Banglore","New Delhi","BLR → BOM → DEL","02:05 PM","10:25 AM","20h 20m","1 stop","No info",254
"IndiGo","05/18/2019","Delhi","Cochin","DEL → HYD → COK","06:50 AM","10:30 PM","15h 40m","1 stop","No info",87
"Air India","05/27/2019","Delhi","Cochin","DEL → COK","05:10 AM","08:00 AM","2h 50m","non-stop","No info",74
"Jet Airways","05/18/2019","Mumbai","Hyderabad","BOM → HYD","10:20 AM","11:50 AM","1h 30m","non-stop","In-flight meal not included",49
"SpiceJet","06/24/2019","Chennai","Kolkata","MAA → CCU","09:45 AM","12:00 PM","2h 15m","non-stop","No check-in baggage included",47
"Jet Airways","03/21/2019","Delhi","Cochin","DEL → IDR → BOM → COK","10:20 AM","06:50 PM","32h 30m","2 stops","No info",142
"Multiple carriers","03/06/2019","Delhi","Cochin","DEL → HYD → MAA → COK","07:10 AM","09:20 PM","14h 10m","2 stops","In-flight meal not included",94
"Jet Airways","06/12/2019","Kolkata","Banglore","CCU → DEL → BLR","09:35 AM","07:10 PM","9h 35m","1 stop","No info",155
"Air India","05/18/2019","Delhi","Cochin","DEL → HYD → MAA → COK","01:15 PM","09:25 AM","20h 10m","2 stops","No info",138
"Jet Airways","06/09/2019","Kolkata","Banglore","CCU → BOM → BLR","09:10 PM","04:40 AM","7h 30m","1 stop","In-flight meal not included",105
"IndiGo","03/21/2019","Banglore","New Delhi","BLR → STV → DEL","11:20 AM","03:25 PM","4h 5m","1 stop","No info",70
"Multiple carriers","03/21/2019","Delhi","Cochin","DEL → BOM → COK","08:00 AM","07:15 PM","11h 15m","1 stop","No info",163
"Air India","03/24/2019","Banglore","New Delhi","BLR → DEL","05:00 PM","07:45 PM","2h 45m","non-stop","No info",91
"SpiceJet","03/06/2019","Chennai","Kolkata","MAA → CCU","09:30 AM","12:05 PM","2h 35m","non-stop","No info",89
"Multiple carriers","06/12/2019","Delhi","Cochin","DEL → BOM → COK","11:40 AM","09:00 PM","9h 20m","1 stop","No info",85
"IndiGo","05/12/2019","Kolkata","Banglore","CCU → BLR","05:15 PM","07:50 PM","2h 35m","non-stop","No info",59
"IndiGo","03/09/2019","Delhi","Cochin","DEL → BOM → COK","04:45 AM","12:55 PM","8h 10m","1 stop","No info",197
"IndiGo","04/24/2019","Banglore","Delhi","BLR → DEL","12:30 AM","03:25 AM","2h 55m","non-stop","No info",42
"Air Asia","05/01/2019","Kolkata","Banglore","CCU → IXR → DEL → BLR","03:10 PM","11:30 PM","8h 20m","2 stops","No info",63
"Air Asia","04/15/2019","Kolkata","Banglore","CCU → BLR","10:20 AM","12:55 PM","2h 35m","non-stop","No info",54
"Jet Airways","04/18/2019","Banglore","Delhi","BLR → DEL","08:20 AM","11:20 AM","3h","non-stop","No info",88
"IndiGo","03/15/2019","Banglore","New Delhi","BLR → HYD → DEL","04:55 PM","09:50 PM","4h 55m","1 stop","No info",66
"Jet Airways","04/15/2019","Delhi","Cochin","DEL → BOM → COK","02:00 PM","07:00 PM","5h","1 stop","In-flight meal not included",80
"GoAir","03/27/2019","Delhi","Cochin","DEL → BOM → COK","10:25 AM","07:20 PM","8h 55m","1 stop","No info",64
"Multiple carriers","06/06/2019","Delhi","Cochin","DEL → BOM → COK","12:50 PM","07:15 PM","6h 25m","1 stop","No info",101
"Jet Airways","06/12/2019","Delhi","Cochin","DEL → BOM → COK","02:00 PM","07:00 PM","5h","1 stop","In-flight meal not included",125
"Vistara","03/24/2019","Kolkata","Banglore","CCU → DEL → BLR","08:20 PM","08:25 PM","24h 5m","1 stop","No info",135
"Jet Airways","04/03/2019","Banglore","Delhi","BLR → DEL","08:20 AM","11:20 AM","3h","non-stop","In-flight meal not included",55
"Air India","03/06/2019","Kolkata","Banglore","CCU → BLR","02:15 PM","04:45 PM","2h 30m","non-stop","No info",61
"Jet Airways","03/06/2019","Banglore","New Delhi","BLR → BOM → DEL","08:55 AM","05:05 AM","20h 10m","1 stop","No info",204
"Multiple carriers","06/01/2019","Delhi","Cochin","DEL → BOM → COK","10:00 AM","01:30 AM","15h 30m","1 stop","No info",163
"SpiceJet","05/18/2019","Mumbai","Hyderabad","BOM → HYD","01:15 PM","02:45 PM","1h 30m","non-stop","No info",27
"Air India","03/15/2019","Mumbai","Hyderabad","BOM → HYD","06:20 AM","07:40 AM","1h 20m","non-stop","No info",38
"Air India","06/09/2019","Mumbai","Hyderabad","BOM → HYD","09:05 PM","10:25 PM","1h 20m","non-stop","No info",38
"SpiceJet","05/18/2019","Kolkata","Banglore","CCU → BLR","06:55 AM","09:30 AM","2h 35m","non-stop","No info",47
"IndiGo","03/03/2019","Mumbai","Hyderabad","BOM → HYD","08:05 PM","09:35 PM","1h 30m","non-stop","No info",64
"Jet Airways","05/27/2019","Banglore","Delhi","BLR → DEL","06:55 PM","10:00 PM","3h 5m","non-stop","In-flight meal not included",41
"IndiGo","03/24/2019","Banglore","New Delhi","BLR → DEL","07:10 AM","10:05 AM","2h 55m","non-stop","No info",75
"IndiGo","03/06/2019","Delhi","Cochin","DEL → HYD → COK","07:35 AM","12:00 PM","4h 25m","1 stop","No info",94
"Air India","03/24/2019","Banglore","New Delhi","BLR → DEL","09:05 PM","11:55 PM","2h 50m","non-stop","No info",54
"Air India","06/27/2019","Delhi","Cochin","DEL → RPR → NAG → BOM → COK","05:15 AM","07:15 PM","38h","3 stops","No info",131
"Jet Airways","06/12/2019","Kolkata","Banglore","CCU → BOM → BLR","09:10 PM","10:05 AM","12h 55m","1 stop","In-flight meal not included",104
"Multiple carriers","03/03/2019","Delhi","Cochin","DEL → BOM → COK","04:00 AM","01:20 PM","9h 20m","1 stop","No info",183
"Jet Airways","05/24/2019","Kolkata","Banglore","CCU → BOM → BLR","08:25 AM","07:50 PM","11h 25m","1 stop","No info",178
"SpiceJet","06/03/2019","Banglore","Delhi","BLR → DEL","09:10 PM","12:05 AM","2h 55m","non-stop","No check-in baggage included",40
"Jet Airways","03/18/2019","Banglore","New Delhi","BLR → BOM → DEL","04:55 PM","11:00 PM","6h 5m","1 stop","In-flight meal not included",135
"SpiceJet","04/01/2019","Kolkata","Banglore","CCU → BLR","06:55 AM","09:30 AM","2h 35m","non-stop","No info",47
"SpiceJet","04/15/2019","Banglore","Delhi","BLR → DEL","09:30 AM","12:20 PM","2h 50m","non-stop","No info",54
"Air India","06/03/2019","Delhi","Cochin","DEL → GOI → BOM → COK","10:55 AM","07:40 AM","20h 45m","2 stops","No info",143
"Jet Airways","05/24/2019","Kolkata","Banglore","CCU → BOM → BLR","04:30 PM","11:35 PM","7h 5m","1 stop","No info",178
"Multiple carriers","06/03/2019","Delhi","Cochin","DEL → BOM → COK","06:00 AM","09:00 PM","15h","1 stop","No info",103
"Jet Airways","05/01/2019","Kolkata","Banglore","CCU → BOM → BLR","08:00 PM","10:05 AM","14h 5m","1 stop","No info",170
"Jet Airways","05/21/2019","Delhi","Cochin","DEL → BOM → COK","07:45 PM","07:00 PM","23h 15m","1 stop","No info",196
"Multiple carriers","03/06/2019","Delhi","Cochin","DEL → BOM → COK","04:00 AM","06:50 PM","14h 50m","1 stop","No info",163
"Air India","06/06/2019","Delhi","Cochin","DEL → AMD → BOM → COK","04:40 PM","07:15 PM","26h 35m","2 stops","No info",118
"Jet Airways","06/06/2019","Delhi","Cochin","DEL → BOM → COK","10:00 AM","07:00 PM","9h","1 stop","No info",179
"Air Asia","06/18/2019","Banglore","Delhi","BLR → DEL","11:10 AM","01:55 PM","2h 45m","non-stop","No info",41
"Jet Airways","03/01/2019","Banglore","New Delhi","BLR → BOM → DEL","02:05 PM","08:15 AM","18h 10m","1 stop","No info",272
"Vistara","03/03/2019","Chennai","Kolkata","MAA → CCU","07:05 AM","09:20 AM","2h 15m","non-stop","No info",73
"Jet Airways","05/12/2019","Kolkata","Banglore","CCU → BOM → BLR","06:55 PM","08:15 AM","13h 20m","1 stop","In-flight meal not included",118
"Multiple carriers","06/01/2019","Delhi","Cochin","DEL → BOM → COK","11:40 AM","09:00 PM","9h 20m","1 stop","No info",94
"Air India","04/01/2019","Kolkata","Banglore","CCU → DEL → BLR","08:30 PM","11:15 PM","26h 45m","1 stop","No info",88
"Jet Airways","04/01/2019","Banglore","Delhi","BLR → DEL","06:55 PM","10:00 PM","3h 5m","non-stop","No info",88
"IndiGo","04/06/2019","Kolkata","Banglore","CCU → BLR","11:30 AM","02:05 PM","2h 35m","non-stop","No info",51
"Air India","03/15/2019","Kolkata","Banglore","CCU → BLR","02:15 PM","04:45 PM","2h 30m","non-stop","No info",63
"Multiple carriers","03/03/2019","Delhi","Cochin","DEL → BOM → COK","09:10 AM","06:50 PM","9h 40m","1 stop","No info",185
"SpiceJet","04/09/2019","Kolkata","Banglore","CCU → MAA → BLR","03:05 PM","08:20 PM","5h 15m","1 stop","No info",57
"Vistara","05/01/2019","Banglore","Delhi","BLR → DEL","07:00 AM","09:40 AM","2h 40m","non-stop","No info",57
"Air India","06/12/2019","Delhi","Cochin","DEL → MAA → COK","08:40 PM","09:25 AM","12h 45m","1 stop","No info",91
"Air India","04/18/2019","Banglore","Delhi","BLR → DEL","05:00 PM","07:45 PM","2h 45m","non-stop","No info",75
"Jet Airways","05/27/2019","Delhi","Cochin","DEL → AMD → BOM → COK","11:05 PM","07:00 PM","19h 55m","2 stops","No info",185
"Air India","05/06/2019","Kolkata","Banglore","CCU → GAU → BLR","09:50 AM","09:05 PM","11h 15m","1 stop","No info",91
"Jet Airways","06/06/2019","Kolkata","Banglore","CCU → DEL → BLR","09:35 AM","10:55 AM","25h 20m","1 stop","In-flight meal not included",129
"IndiGo","03/03/2019","Banglore","New Delhi","BLR → DEL","10:20 PM","01:10 AM","2h 50m","non-stop","No info",93
"SpiceJet","03/24/2019","Banglore","New Delhi","BLR → DEL","09:35 AM","12:30 PM","2h 55m","non-stop","No info",48
"IndiGo","06/15/2019","Chennai","Kolkata","MAA → CCU","01:15 PM","03:35 PM","2h 20m","non-stop","No info",44
"Jet Airways","05/01/2019","Kolkata","Banglore","CCU → BOM → BLR","06:55 PM","10:05 AM","15h 10m","1 stop","In-flight meal not included",105
"Air India","06/27/2019","Delhi","Cochin","DEL → CCU → BOM → COK","04:55 PM","07:15 PM","26h 20m","2 stops","No info",166
"Multiple carriers","06/01/2019","Delhi","Cochin","DEL → HYD → COK","07:05 AM","04:10 PM","9h 5m","1 stop","No info",118
"Vistara","05/06/2019","Banglore","Delhi","BLR → DEL","09:45 AM","12:35 PM","2h 50m","non-stop","No info",57
"Air India","05/09/2019","Kolkata","Banglore","CCU → DEL → BLR","10:00 AM","08:25 PM","10h 25m","1 stop","No info",124
"Air India","03/24/2019","Banglore","New Delhi","BLR → COK → DEL","06:55 AM","01:20 PM","6h 25m","1 stop","No info",97
"Air India","04/01/2019","Kolkata","Banglore","CCU → BOM → BLR","04:50 PM","07:55 AM","15h 5m","1 stop","No info",96
"Jet Airways","05/09/2019","Delhi","Cochin","DEL → JAI → BOM → COK","05:30 AM","07:00 PM","13h 30m","2 stops","In-flight meal not included",159
"Jet Airways","06/12/2019","Delhi","Cochin","DEL → BOM → COK","09:00 AM","12:35 PM","27h 35m","1 stop","In-flight meal not included",125
"IndiGo","06/12/2019","Kolkata","Banglore","CCU → HYD → BLR","07:20 PM","11:45 PM","4h 25m","1 stop","No info",44
"Air Asia","06/03/2019","Delhi","Cochin","DEL → BLR → COK","07:55 AM","10:25 PM","14h 30m","1 stop","No info",107
"Jet Airways","03/03/2019","Banglore","New Delhi","BLR → BOM → DEL","08:00 AM","07:40 AM","23h 40m","1 stop","In-flight meal not included",165
"Air India","05/18/2019","Kolkata","Banglore","CCU → MAA → BLR","02:35 PM","02:35 PM","24h","1 stop","No info",80
"Jet Airways","03/27/2019","Delhi","Cochin","DEL → BOM → COK","03:05 PM","04:25 AM","13h 20m","1 stop","In-flight meal not included",73
"Vistara","04/09/2019","Banglore","Delhi","BLR → DEL","07:30 PM","10:15 PM","2h 45m","non-stop","No info",68
"Jet Airways","06/27/2019","Mumbai","Hyderabad","BOM → HYD","08:45 AM","10:15 AM","1h 30m","non-stop","No info",98
"IndiGo","03/24/2019","Banglore","New Delhi","BLR → DEL","04:00 AM","06:50 AM","2h 50m","non-stop","No info",69
"Jet Airways","05/21/2019","Delhi","Cochin","DEL → BOM → COK","05:30 PM","07:00 PM","25h 30m","1 stop","In-flight meal not included",157
"Air Asia","06/12/2019","Kolkata","Banglore","CCU → DEL → BLR","07:35 AM","07:25 PM","11h 50m","1 stop","No info",63
"Jet Airways","06/01/2019","Delhi","Cochin","DEL → BOM → COK","03:00 PM","07:00 PM","28h","1 stop","No info",179
"Jet Airways","03/12/2019","Banglore","New Delhi","BLR → BOM → DEL","05:45 AM","11:00 PM","17h 15m","1 stop","No info",169
"Jet Airways","06/15/2019","Delhi","Cochin","DEL → BOM → COK","09:00 AM","07:00 PM","10h","1 stop","No info",179
"IndiGo","05/12/2019","Chennai","Kolkata","MAA → CCU","07:35 PM","09:55 PM","2h 20m","non-stop","No info",44
"Air India","05/09/2019","Banglore","Delhi","BLR → DEL","01:20 PM","04:10 PM","2h 50m","non-stop","No info",75
"Air India","06/09/2019","Kolkata","Banglore","CCU → BOM → GOI → BLR","04:50 PM","05:35 AM","12h 45m","2 stops","No info",142
"Jet Airways","03/06/2019","Delhi","Cochin","DEL → BOM → COK","04:00 PM","04:25 AM","12h 25m","1 stop","No info",192
"IndiGo","06/01/2019","Kolkata","Banglore","CCU → BLR","04:40 AM","07:15 AM","2h 35m","non-stop","No info",59
"Air India","05/27/2019","Delhi","Cochin","DEL → GOI → BOM → COK","10:55 AM","07:15 PM","8h 20m","2 stops","No info",161
"IndiGo","06/24/2019","Chennai","Kolkata","MAA → CCU","11:35 AM","02:00 PM","2h 25m","non-stop","No info",47
"Multiple carriers","06/03/2019","Delhi","Cochin","DEL → BOM → COK","10:20 AM","01:30 AM","15h 10m","1 stop","No info",83
"Air Asia","03/09/2019","Delhi","Cochin","DEL → BLR → COK","04:45 PM","10:15 PM","5h 30m","1 stop","No info",102
"Air India","05/21/2019","Delhi","Cochin","DEL → BLR → COK","09:30 AM","11:00 PM","13h 30m","1 stop","No info",109
"IndiGo","06/09/2019","Kolkata","Banglore","CCU → GAU → BLR","03:10 PM","08:30 PM","5h 20m","1 stop","No info",87
"Air India","03/21/2019","Delhi","Cochin","DEL → BOM → COK","09:00 PM","07:40 AM","10h 40m","1 stop","No info",84
"Jet Airways","05/21/2019","Delhi","Cochin","DEL → JAI → BOM → COK","07:30 PM","12:35 PM","17h 5m","2 stops","In-flight meal not included",159
"Air India","05/09/2019","Delhi","Cochin","DEL → BOM → COK","10:00 AM","07:15 PM","9h 15m","1 stop","No info",102
"Jet Airways","05/24/2019","Kolkata","Banglore","CCU → BOM → BLR","08:25 AM","07:50 PM","11h 25m","1 stop","In-flight meal not included",132
"Air Asia","03/06/2019","Kolkata","Banglore","CCU → BLR","07:35 PM","10:05 PM","2h 30m","non-stop","No info",53
"Jet Airways","05/15/2019","Kolkata","Banglore","CCU → DEL → BLR","09:35 AM","10:05 PM","12h 30m","1 stop","No info",148
"Jet Airways","05/21/2019","Kolkata","Banglore","CCU → DEL → BLR","09:35 AM","02:25 PM","28h 50m","1 stop","No info",140
"IndiGo","03/03/2019","Banglore","New Delhi","BLR → DEL","08:00 PM","10:55 PM","2h 55m","non-stop","No info",84
"Air India","06/15/2019","Delhi","Cochin","DEL → BOM → COK","10:00 AM","07:15 PM","9h 15m","1 stop","No info",137
"Jet Airways","03/24/2019","Kolkata","Banglore","CCU → BOM → BLR","07:45 PM","08:40 PM","24h 55m","1 stop","No info",168
"IndiGo","05/01/2019","Kolkata","Banglore","CCU → BBI → BLR","07:35 PM","11:15 PM","3h 40m","1 stop","No info",52
"IndiGo","05/09/2019","Delhi","Cochin","DEL → BOM → COK","04:00 PM","01:30 AM","9h 30m","1 stop","No info",113
"Multiple carriers","06/27/2019","Delhi","Cochin","DEL → BOM → COK","08:00 AM","07:00 PM","11h","1 stop","No info",149
"IndiGo","06/09/2019","Kolkata","Banglore","CCU → BLR","09:35 AM","12:20 PM","2h 45m","non-stop","No info",59
"Jet Airways","06/27/2019","Delhi","Cochin","DEL → BOM → COK","11:30 AM","12:35 PM","25h 5m","1 stop","In-flight meal not included",125
"Jet Airways","06/15/2019","Delhi","Cochin","DEL → BOM → COK","01:00 PM","12:35 PM","23h 35m","1 stop","In-flight meal not included",125
"IndiGo","06/09/2019","Mumbai","Hyderabad","BOM → HYD","04:55 PM","06:25 PM","1h 30m","non-stop","No info",39
"Jet Airways","05/27/2019","Delhi","Cochin","DEL → BOM → COK","05:30 PM","12:35 PM","19h 5m","1 stop","In-flight meal not included",157
"Jet Airways","06/21/2019","Delhi","Cochin","DEL → COK","11:00 AM","02:15 PM","3h 15m","non-stop","No info",117
"Jet Airways","06/27/2019","Delhi","Cochin","DEL → AMD → BOM → COK","01:25 PM","07:00 PM","29h 35m","2 stops","No info",156
"Air India","03/24/2019","Kolkata","Banglore","CCU → BBI → BOM → BLR","09:10 AM","07:55 AM","22h 45m","2 stops","No info",185
"Air India","05/24/2019","Kolkata","Banglore","CCU → BOM → COK → BLR","09:25 AM","01:45 PM","28h 20m","2 stops","No info",156
"IndiGo","06/03/2019","Kolkata","Banglore","CCU → BLR","09:35 AM","12:10 PM","2h 35m","non-stop","No info",59
"SpiceJet","03/09/2019","Chennai","Kolkata","MAA → CCU","05:45 PM","08:05 PM","2h 20m","non-stop","No info",77
"SpiceJet","05/27/2019","Kolkata","Banglore","CCU → BLR","05:10 PM","07:40 PM","2h 30m","non-stop","No info",47
"IndiGo","06/01/2019","Kolkata","Banglore","CCU → BLR","05:15 PM","07:50 PM","2h 35m","non-stop","No info",64
"Air India","04/15/2019","Banglore","Delhi","BLR → DEL","09:05 PM","11:55 PM","2h 50m","non-stop","No info",64
"Air India","03/12/2019","Mumbai","Hyderabad","BOM → BLR → HYD","09:15 AM","09:15 AM","24h","1 stop","No info",98
"Air India","04/03/2019","Banglore","Delhi","BLR → DEL","09:05 PM","11:55 PM","2h 50m","non-stop","No info",54
"Multiple carriers","06/03/2019","Delhi","Cochin","DEL → BOM → COK","10:35 AM","07:15 PM","8h 40m","1 stop","No info",90
"Air India","05/21/2019","Delhi","Cochin","DEL → COK","05:10 AM","08:00 AM","2h 50m","non-stop","No info",74
"Jet Airways","04/01/2019","Kolkata","Banglore","CCU → BOM → BLR","08:00 PM","12:00 PM","16h","1 stop","In-flight meal not included",86
"Jet Airways","06/09/2019","Delhi","Cochin","DEL → IDR → BOM → COK","09:35 AM","04:25 AM","18h 50m","2 stops","No info",162
"Jet Airways","06/12/2019","Delhi","Cochin","DEL → NAG → BOM → COK","02:35 PM","12:35 PM","22h","2 stops","No info",163
"Jet Airways","03/21/2019","Delhi","Cochin","DEL → BDQ → BOM → COK","10:45 AM","06:50 PM","32h 5m","2 stops","In-flight meal not included",95
"Air India","06/12/2019","Delhi","Cochin","DEL → MAA → COK","12:30 PM","09:25 AM","20h 55m","1 stop","No info",91
"IndiGo","05/15/2019","Kolkata","Banglore","CCU → MAA → BLR","08:10 AM","01:00 PM","4h 50m","1 stop","No info",62
"SpiceJet","06/18/2019","Banglore","Delhi","BLR → DEL","09:30 AM","12:20 PM","2h 50m","non-stop","No check-in baggage included",40
"Multiple carriers","05/09/2019","Delhi","Cochin","DEL → BOM → COK","12:50 PM","01:30 AM","12h 40m","1 stop","No info",418
"Jet Airways","05/18/2019","Delhi","Cochin","DEL → AMD → BOM → COK","07:10 PM","07:00 PM","23h 50m","2 stops","No info",204
"Air India","05/09/2019","Kolkata","Banglore","CCU → JAI → DEL → BLR","08:20 AM","11:15 PM","14h 55m","2 stops","No info",139
"Air India","03/12/2019","Mumbai","Hyderabad","BOM → HYD","09:05 PM","10:25 PM","1h 20m","non-stop","No info",53
"Jet Airways","05/27/2019","Delhi","Cochin","DEL → JAI → BOM → COK","07:30 PM","12:35 PM","17h 5m","2 stops","In-flight meal not included",159
"Air India","05/21/2019","Mumbai","Hyderabad","BOM → HYD","03:00 PM","04:25 PM","1h 25m","non-stop","No info",38
"Jet Airways","03/24/2019","Kolkata","Banglore","CCU → BOM → BLR","07:45 PM","10:35 PM","26h 50m","1 stop","In-flight meal not included",122
"SpiceJet","06/06/2019","Kolkata","Banglore","CCU → BLR","06:55 AM","09:30 AM","2h 35m","non-stop","No check-in baggage included",47
"Jet Airways","05/15/2019","Banglore","Delhi","BLR → DEL","07:50 PM","10:50 PM","3h","non-stop","In-flight meal not included",49
"Air India","06/15/2019","Delhi","Cochin","DEL → GOI → BOM → COK","10:00 PM","07:15 PM","21h 15m","2 stops","No info",127
"Air India","03/24/2019","Kolkata","Banglore","CCU → BBI → IXR → DEL → BLR","12:00 PM","11:15 PM","35h 15m","3 stops","No info",173
"Jet Airways","06/03/2019","Delhi","Cochin","DEL → BOM → COK","11:30 AM","07:00 PM","7h 30m","1 stop","In-flight meal not included",125
"Jet Airways","04/15/2019","Banglore","Delhi","BLR → DEL","11:10 AM","02:05 PM","2h 55m","non-stop","No info",88
"IndiGo","03/24/2019","Banglore","New Delhi","BLR → DEL","01:00 PM","03:50 PM","2h 50m","non-stop","No info",98
"IndiGo","06/15/2019","Delhi","Cochin","DEL → HYD → COK","05:05 AM","12:10 PM","7h 5m","1 stop","No info",83
"Multiple carriers","05/21/2019","Delhi","Cochin","DEL → BOM → COK","08:45 AM","09:00 PM","12h 15m","1 stop","No info",91
"SpiceJet","06/03/2019","Banglore","Delhi","BLR → DEL","09:30 AM","12:20 PM","2h 50m","non-stop","No info",48
"SpiceJet","05/15/2019","Chennai","Kolkata","MAA → CCU","05:45 PM","08:05 PM","2h 20m","non-stop","No info",44
"Jet Airways","03/18/2019","Mumbai","Hyderabad","BOM → HYD","02:55 AM","04:25 AM","1h 30m","non-stop","No info",69
"Air India","05/24/2019","Kolkata","Banglore","CCU → BOM → BLR","09:25 AM","07:55 AM","22h 30m","1 stop","No info",102
"Air India","06/06/2019","Delhi","Cochin","DEL → GOI → BOM → COK","10:55 AM","07:15 PM","8h 20m","2 stops","No info",143
"SpiceJet","06/24/2019","Kolkata","Banglore","CCU → BLR","10:20 PM","12:40 AM","2h 20m","non-stop","No check-in baggage included",47
"Vistara","05/15/2019","Kolkata","Banglore","CCU → DEL → BLR","05:00 PM","11:25 PM","6h 25m","1 stop","No info",114
"Air India","06/06/2019","Kolkata","Banglore","CCU → VNS → DEL → BLR","02:30 PM","08:55 AM","18h 25m","2 stops","No info",184
"Multiple carriers","06/06/2019","Delhi","Cochin","DEL → HYD → COK","07:05 AM","10:30 PM","15h 25m","1 stop","No info",118
"Jet Airways","06/09/2019","Delhi","Cochin","DEL → BOM → COK","07:05 AM","04:25 AM","21h 20m","1 stop","In-flight meal not included",125
"Jet Airways","03/27/2019","Delhi","Cochin","DEL → AMD → BOM → COK","07:10 PM","04:25 AM","9h 15m","2 stops","In-flight meal not included",103
"SpiceJet","06/09/2019","Kolkata","Banglore","CCU → BLR","10:20 PM","12:40 AM","2h 20m","non-stop","No check-in baggage included",47
"Multiple carriers","03/27/2019","Delhi","Cochin","DEL → BOM → COK","07:05 AM","01:20 PM","6h 15m","1 stop","No info",153
